"id","year","title","category","method_tags","relevance_to_direction","source_url","pdf_file","status"
"PI-RECAP","2025","pi*0.6: a VLA That Learns From Experience","PI native VLA+RL","RECAP; advantage-conditioned policy; offline RL; corrections; autonomous experience","Anchor paper. Shows large-scale VLA self-improvement, but relies on PI internal pi0.6/pi*0.6 and large data. Our direction should target the open-source post-hoc version.","https://arxiv.org/abs/2511.14759","pdfs/pistar06_recap_2511.14759.pdf","downloaded"
"PI-RLT","2026","RL Token: Bootstrapping Online RL with VLAs","PI native VLA+RL","RL token; frozen VLA; small actor-critic; online RL; precision manipulation","Closest inspiration. It trains a native RL token inside pi0.6. Our gap is plug-in tokenization for existing open-source VLAs without pretraining-time access.","https://www.pi.website/research/rlt","pdfs/rlt_pi_rl_token.pdf","downloaded"
"PI06-CARD","2025","pi0.6 Model Card","PI model background","Gemma3 backbone; action expert; FAST tokens; metadata conditioning","Important for understanding why PI can add native conditioning and RL token interfaces. Not directly reproducible for ordinary labs.","https://website.pi-asset.com/pi06star/PI06_model_card.pdf","pdfs/pi06_model_card.pdf","downloaded"
"PI0","2024","pi0: A Vision-Language-Action Flow Model for General Robot Control","VLA foundation model","flow matching; action chunks; general robot control","Background for PI action representation and flow-matching VLA design.","https://arxiv.org/abs/2410.24164","pdfs/pi0_2410.24164.pdf","downloaded"
"PI05","2025","pi0.5: a Vision-Language-Action Model with Open-World Generalization","VLA foundation model","open-world generalization; heterogeneous data; high-level subtasks","OpenPI pi0.5 is the most relevant PI-style open-source base to test plug-in RLT ideas.","https://arxiv.org/abs/2504.16054","pdfs/pi05_2504.16054.pdf","downloaded"
"OPENVLA","2024","OpenVLA: An Open-Source Vision-Language-Action Model","open-source VLA","OpenVLA; 7B VLA; fine-tuning; robot manipulation","Strong open-source baseline. Useful for testing whether post-hoc tokenization generalizes beyond PI-style models.","https://arxiv.org/abs/2406.09246","pdfs/openvla_2406.09246.pdf","downloaded"
"SMOLVLA","2025","SmolVLA: Efficient Vision-Language-Action Model trained on LeRobot Community Data","open-source VLA","compact VLA; LeRobot; flow matching; async inference","Most feasible base for one GPU and single-arm experiments. Good first implementation target.","https://arxiv.org/abs/2506.01844","pdfs/smolvla_2506.01844.pdf","downloaded"
"VLA-SURVEY","2025","Vision Language Action Models in Robotic Manipulation: A Systematic Review","survey","VLA taxonomy; datasets; simulators; manipulation","Survey reference for positioning the topic and related work taxonomy.","https://arxiv.org/abs/2507.10672","pdfs/vla_survey_2507.10672.pdf","downloaded"
"VLA-RL","2025","VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning","VLA RL post-training","online RL; process reward model; OpenVLA; LIBERO","Shows VLA+RL works, but mostly large-scale/sim benchmark oriented. Supports the need for real-robot and resource-limited alternatives.","https://arxiv.org/abs/2505.18719","pdfs/vla_rl_2505.18719.pdf","downloaded"
"SIMPLEVLA-RL","2025","SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning","VLA RL post-training","veRL; trajectory sampling; OpenVLA-OFT; scalable RL","Useful baseline for scalable VLA RL, but less suited to small real-robot labs due to infrastructure assumptions.","https://arxiv.org/abs/2509.09674","pdfs/simplevla_rl_2509.09674.pdf","downloaded"
"CO-RFT","2025","CO-RFT: Efficient Fine-Tuning of Vision-Language-Action Models through Chunked Offline Reinforcement Learning","offline VLA RL","chunked RL; TD over action chunks; 30-60 demos","Important because it attacks low-data VLA fine-tuning and action chunking. Competes with the offline part of our method.","https://arxiv.org/abs/2508.02219","pdfs/co_rft_2508.02219.pdf","downloaded"
"VLAC","2025","A Vision-Language-Action-Critic Model for Robotic Real-World Reinforcement Learning","reward/critic","process reward; progress delta; done signal; human-in-loop RL","Closest critic/reward work. Our method should not claim generic reward-model novelty; instead use critic as auxiliary signal for plug-in RL tokens.","https://arxiv.org/abs/2509.15937","pdfs/vlac_2509.15937.pdf","downloaded"
"SOLE-R1","2026","SOLE-R1: Video-Language Reasoning as the Sole Reward for On-Robot Reinforcement Learning","reward/critic","video-language reward; dense progress; RL reward hacking","Very hot reward direction. It raises the bar for VLM rewards and highlights reward hacking risk; not ideal as our sole contribution.","https://arxiv.org/abs/2603.28730","pdfs/sole_r1_2603.28730.pdf","downloaded"
"RL100","2025","RL-100: Performant Robotic Manipulation with Real-World Reinforcement Learning","real-world RL","diffusion policy; offline+online RL; consistency distillation","Shows real-world RL can eliminate residual failure modes. Strong motivation for precision-stage online RL.","https://arxiv.org/abs/2510.14830","pdfs/rl100_2510.14830.pdf","downloaded"
"GR-RL","2025","GR-RL: Going Dexterous and Precise for Long-Horizon Robotic Manipulation","real-world VLA+RL","progress filtering; symmetry augmentation; online RL; latent noise predictor","Important competitor for turning VLA generalists into precise specialists. Suggests progress filtering and latent-space RL are strong baselines.","https://arxiv.org/abs/2512.01801","pdfs/gr_rl_2512.01801.pdf","downloaded"
