"id","year","title","category","method_tags","relevance_to_new_direction","source_url"
"CRAFT","2026","CRAFT: Adapting VLA Models to Contact-rich Manipulation via Force-aware Curriculum Fine-tuning","contact-rich VLA","force-aware curriculum; information bottleneck; leader-follower force data","Shows contact-rich VLA needs force-aware learning. Pressure: force/tactile line is crowded. Opportunity: low-cost contact proxy without force hardware.","https://arxiv.org/abs/2602.12532"
"ForceVLA2","2026","ForceVLA2: Unleashing Hybrid Force-Position Control with Force Awareness for Contact-Rich Manipulation","contact-rich VLA","hybrid force-position control; force prompts; MoE; pi0/pi0.5 comparison","Strong 2026 baseline for force-aware contact-rich VLA. Our gap should avoid requiring force sensors and large force datasets.","https://arxiv.org/abs/2603.15169"
"HapticVLA","2026","HapticVLA: Contact-Rich Manipulation via VLA without Inference-Time Tactile Sensing","contact-rich VLA","tactile distillation; tactile token; flow matching; safety-aware tactile reward","Important competitor: no tactile at inference but tactile teacher/training still needed. Our niche: contact proxy from standard robot logs.","https://arxiv.org/abs/2603.15257"
"TaF-VLA","2026","Tactile-Force Alignment in Vision-Language-Action Models for Force-aware Manipulation","contact-rich VLA","tactile-force alignment; tactile encoder; force dataset","Shows tactile-force alignment is a major 2026 direction. Too hardware/data heavy for ordinary lab; use as contrast.","https://arxiv.org/abs/2601.20321"
"OmniVTA","2026","OmniVTA: Visuo-Tactile World Modeling for Contact-Rich Robotic Manipulation","contact-rich world model","visuo-tactile world model; reflexive controller; large tactile dataset","High-end tactile/world-model route. Good contrast for low-cost contact-implicit approach.","https://arxiv.org/abs/2603.19201"
"VLAJS","2026","Jump-Start Reinforcement Learning with Vision-Language-Action Regularization","VLA-guided RL","VLA guidance; PPO; directional action-consistency; annealing","Closest to VLA-guided RL. Our differentiation: contact-conditioned trust instead of time-based annealing.","https://arxiv.org/abs/2604.13733"
"WMPO","2026","World Model-based Policy Optimization for Vision-Language-Action Models","VLA RL","world model; imagination RL; GRPO; self-correction","Shows VLA RL is hot but world-model route is heavy. Our approach stays real-robot and lightweight.","https://openreview.net/forum?id=qE2FyvRvuF"
"FPC-VLA","2026","FPC-VLA: A VLA Framework with a Supervisor for Failure Prediction and Correction","failure prediction/correction","VLM supervisor; failure prediction; correction; action fusion","This occupies generic failure prediction/correction. Avoid broad failure-supervisor framing.","https://arxiv.org/abs/2509.04018"
"CycleVLA","2026","CycleVLA: Proactive Self-Correcting VLAs via Subtask Backtracking and MBR Decoding","failure prediction/correction","proactive self-correction; subtask backtracking; MBR decoding","Shows proactive correction is crowded. Our direction should focus on contact-mode trust scheduling, not generic failure correction.","https://arxiv.org/abs/2601.02295"
"MemoryVLA","2026","MemoryVLA: Perceptual-Cognitive Memory in VLA Models for Robotic Manipulation","VLA architecture","working memory; episodic memory; long-horizon manipulation","Useful context for temporal/state dependence, but not central to contact-rich RL direction.","https://openreview.net/forum?id=54U3XHf7qq"
